symbol;date;open;high;low;close;adjusted_close;volume
AFMA.BC;03/01/2022;1360;1360;1360;1360;1360;1
AFMA.BC;04/01/2022;1360;1360;1360;1360;1360;1
AFMA.BC;05/01/2022;1360;1360;1360;1360;1360;1
AFMA.BC;06/01/2022;1360;1360;1360;1360;1360;1
AFMA.BC;07/01/2022;1360;1368;1336;1368;1368;30
AFMA.BC;10/01/2022;1368;1368;1361;1361;1361;1
AFMA.BC;12/01/2022;1361;1361;1350;1350;1350;203
AFMA.BC;13/01/2022;1350;1350;1350;1350;1350;1
AFMA.BC;14/01/2022;1350;1350;1350;1350;1350;1
AFMA.BC;17/01/2022;1350;1350;1350;1350;1350;1
AFMA.BC;18/01/2022;1350;1350;1350;1350;1350;1
AFMA.BC;19/01/2022;1350;1375;1350;1375;1375;27
AFMA.BC;20/01/2022;1375;1404;1375;1404;1404;1
AFMA.BC;21/01/2022;1404;1404;1397;1397;1397;1
AFMA.BC;24/01/2022;1397;1397;1397;1397;1397;1
AFMA.BC;25/01/2022;1397;1397;1397;1397;1397;1
AFMA.BC;26/01/2022;1397;1397;1397;1397;1397;1
AFMA.BC;27/01/2022;1397;1397;1397;1397;1397;1
AFMA.BC;28/01/2022;1397;1397;1397;1397;1397;1
AFMA.BC;31/01/2022;1397;1397;1397;1397;1397;1
AFMA.BC;01/02/2022;1397;1397;1396;1396;1396;1
AFMA.BC;02/02/2022;1396;1396;1395;1395;1395;1
AFMA.BC;03/02/2022;1395;1395;1395;1395;1395;1
AFMA.BC;04/02/2022;1395;1395;1395;1395;1395;1
AFMA.BC;07/02/2022;1395;1395;1395;1395;1395;2
AFMA.BC;08/02/2022;1395;1395;1395;1395;1395;1
AFMA.BC;09/02/2022;1395;1395;1395;1395;1395;1
AFMA.BC;10/02/2022;1395;1395;1395;1395;1395;1
AFMA.BC;11/02/2022;1395;1395;1390;1390;1390;7
AFMA.BC;14/02/2022;1390;1390;1389;1389;1389;1
AFMA.BC;15/02/2022;1389;1389;1389;1389;1389;1
